api_nro,tipo,institucion,localidad,provincia,domicilio,cp,telefono,email,lat,lon
807,IM,ASOCIACION CIVIL RED SOLIDARIA POR VOS,Presidencia de la Plaza,Chaco,Pellegrini 730,H3536AXP,,moni_kusy@hotmail.com,-27.001741,-59.843952
808,IM,FUNDACION ESPIRITU SOLIDARIO,Resistencia,Chaco,Pellegrini 1760,H3508ENT,(0362) 4437835,monicamfranco@arnet.com.ar,-27.438606,-58.969239
814,IM,Asociación Civil GENERAR - ACG,Capital,Córdoba,Av. 24 de Septiembre 1885,X5004FTW,,asociaciongenerar@gmail.com,-31.411785,-64.158971
815,IM,FORMAR ASOCIACION CIVIL,Córdoba,Córdoba,Monseñor de Andrea 266,X5000ZAA,(0351) 4865254,formar.asociacion.civil@gmail.com,-31.40266,-64.217019
822,IM,ASOCIACION CIVIL MUJERES SOLIDARIAS EN LA LUCHA - MUSEL,Capital,Corrientes,Entre Ríos 1873,K4700ZAA,(0379) 4424701,muselbpbf@hotmail.com,-27.433168,-58.999841
823,IM,ÑANDE PO ,Capital,Corrientes,Hipólito Irigoyen 880,K4700ZAA,(0379) 4465234,artesanos_independientes@hotmail.com,-27.471226,-58.839584
840,IM,FUNDACION EL PUENTE,General Pico,La Pampa,Calle 32 Nº 1114,L6360ZAA,(02302) 432238,anibalcarlosgaite@yahoo.com.ar,-35.669322,-63.773171
842,IM,OBISPADO DE LA RIOJA,Rosario Vera Peñaloza,La Rioja,Av. 9 de Julio 225,F5470ZAA,(03821) 15402419,rafaela_016@hotmail.com,-31.49791,-66.712915
843,IM,A.C.I.P.E.V,Capital,Mendoza,Gobernador Gonzalez 582,M5500HWR,(0261) 4379900,acipev@yahoo.com.ar,-32.890183,-68.84405
845,IM,Fundación Hijos del Corazón de María,La Favorita,Mendoza,Calle C Nº18 - Barrio Cipolletti,M5591XAG,(0261) 4443989,favremartin@hotmail.com,-32.890183,-68.84405
849,IM,FUNDACION COLOBA,Villa Hipódromo,Mendoza,Carlos Paz 1070,M5547BQD,(0261) 4274160,bpbfcoloba@yahoo.com.ar,-32.910487,-68.813844
851,IM,ASOCIACION CIVIL INTERBARRIAL LAS HERAS,Las Heras,Mendoza,"Manzana ""A"" Casa 1 - Barrio Juncal",M5540ZAA,(0261) 4489186,regional_bqto_redlshs@hotmail.com.ar,-32.846836,-68.77601
854,IM,ASOCIACION ALBORADA,Maipú,Mendoza,Juan B. Justo 331,B7160ZAA,(0261) 4815002,asociacion.alborada@yahoo.com.ar,-32.961183,-68.811906
859,IM,ASOCIACION CIVIL MOVIMIENTO JUVENIL ANDRESITO,Posadas,Misiones,Calle 93 Nº 9244,N3300ZAA,,movimientojuvenilandresito@yahoo.com.ar,-27.40969,-55.930716
860,IM,ASOCIACION CIVIL PROSPERANDO,Posadas,Misiones,"Chacra 118 Manzana ""O"" Casa 14",N3300ZAA,(0376) 4475197,asoc.prosperando@yahoo.com.ar,-27.362137,-55.900875
861,IM,CENTRO ECUMENICO DE JOVENES AYUDAR,Posadas,Misiones,Alvear 1977,N3300IIO,(0376) 4421605,ayudar_cambio@yahoo.com.ar,-27.362152,-55.894982
871,IM,ASOCIACION CIVIL CONSTRUYENDO PROYECTOS BARRIALES - CONPROBAR,Bariloche,Río Negro,Mitre 125 - 1º Piso Oficina 129,R8400ZAA,(0294) 154535871,conprobar@yahoo.com.ar,-41.133738,-71.308057
872,IM,FUNDACION GENTE NUEVA,Bariloche,Río Negro,Antonio Tarragó Ros 350,R8400ZAA,(0294) 4525508,banquito2009@gmail.com,-41.149288,-71.301269
874,IM,CENTRO DE JUBILADOS Y PENSIONADOS MICHAY,General Roca,Río Negro,Tres de Febrero 930,X6271ZAA,(0298) 436256,cjmichay@yahoo.com.ar,-39.026752,-67.575172
875,IM,ASOCIACION EMPRESARIOS ECONOMIA SOCIAL - AEDES,Cipolletti,Río Negro,Fernandez Oro 680,R8324BWT,(0299) 154293314,aedes1983@yahoo.com.ar,-38.9328,-67.983398
876,IM,COOPERATIVA DE TRABAJO ARTISTICO LA HORMIGA CIRCULAR,Villa Regina,Río Negro,9 de Julio 124,R8336FHO,(0298) 462014,lahormigaregional@gmail.com,-39.100342,-67.087799
882,IM,ASOCIACION COMUNITARIA DE ACCION SOCIAL - ACODAS,Quines,San Luis,Saavedra 480,D5711BQF,,carlosomarreina@yahoo.com.ar,-32.233669,-65.802361
884,IM,FUNDACION NUEVA SOCIEDAD,San Luis,San Luis,"Berta Vidal de Battini Manzana ""A"" Casa 8",D5702ZAA,(0266) 4432375,reneiturrioz@hotmail.com,-33.29956,-66.349182
886,IM,BIBLIOTECA POPULAR LA MEMORIA DE NUESTRO PUEBLO,Rosario,Santa Fé,Presidente Roca 1111,S2000ZAC,(0341) 4492385,bibliotecalamemoria@argentina.com,-32.948996,-60.646114
888,IM,ASOCIACION REGIONAL EMPRENDEDORES BARRIALES - AREMBA,San Lorenzo,Santa Fé,Boulevard Oroño 686,H3545ZAA,(03476) 420153,emba1996@hotmail.com,-32.75024,-60.732422
893,IM,CENTRO COMUNITARIO Y DESARROLLO HUMANO TARUCA PAMPA,Benjamín Aráoz,Tucumán,Barrio Ex Estación Taruca,4119,(0381) 154472546,ctrocomunitariotaruca@yahoo.com.ar,-26.555538,-64.797256
896,IM,FUNDACION MADRE TERESA DE CALCUTA,Las Talitas,Tucumán,Lucas Córdoba 1160,T4101ZAA,,normaarrieta58@hotmail.com,-26.796717,-65.213669
897,IM,ATUDECCOR,Banda del Río Sali,Tucumán,Estación Pacara S/N,T4109ZAA,,atudeccor@argentina.com,-26.83411,-65.16542
906,IM,CGL PARA EL DESARROLLO LOCAL CORDOBA CIUDAD,Córdoba,Córdoba,Rodríguez Peña 471,X5000LOI,(0351) 4213408,cglcordoba@gmail.com,-31.406379,-64.195828
908,IM,CGL PUNILLA,Villa Carlos Paz,Córdoba,Rioja 15,X5152ZAA,(03541) 439140,consorciodepunilla@gmail.com,-32.414468,-63.258272
909,IM,CGL ENTRE RIOS,Paraná,Entre Ríos,Córdoba y Laprida S/N,E3100ZAA,(0343) 4208500,cglentrerios@hotmail.com,-32.414468,-63.258272
914,IM,CGL MINISTERIO DE ECONOMIA,Formosa,Formosa,Belgrano 878,P3600ZAA,(0370) 4429888,romynga@hotmail.com,-26.183169,-58.164935
927,IM,COOPERATIVA ELECTRICA AZUL LIMITADA,Azul,Buenos Aires,Hipólito Irigoyen 318,B7300XAA,(02281) 431600,tecnicacealagua@ceal.com.ar,-36.774967,-59.854038
929,IM,INSTITUTO MOVILIZADOR DE FONDOS COOPERATIVOS,Mar del Plata,Buenos Aires,Hipólito Irigoyen 1549,B7600DOK,(0223) 4914049,imfcmdp@imfc.coop,-37.979858,-57.589794
931,IM,ASOCIACION CIVIL CLUE CRISTO LA UNICA ESPERANZA,La Plata,Buenos Aires,Calle 66 Nº 2121,B1910GEG,(0221) 4704543,maraluciani@fibertel.com.ar,-34.954871,-57.966495
932,IM,Asociación Civil Centro de Estudios para la Nueva Argentina,La Plata,Buenos Aires,Diagonal 77 1049,B1902BNQ,(0221) 4896360,nueva.argentina2@gmail.com,-34.909406,-57.944807
933,IM,COMUNIDAD ORGANIZADA,La Plata,Buenos Aires,Calle 43 Nº 467,B1902ADS,(0221) 4836886,nueva.argentina2@gmail.com,-34.907337,-57.953741
935,IM,RED DE GESTION ASOCIADA FACTAFECOTRA,La Plata,Buenos Aires,Calle 55 Nº 680,B1900BHB,(0221) 4890955,redfecotrafacta@gmail.com,-34.91883,-57.948058
936,IM,RED VIPECAS - OA ASOCIACION PARA EL DESARROLLO AMBIENTAL SUTENTABLE,La Plata,Buenos Aires,Calle 67 Nº 1129,B1904AXS,(0221) 4577732,adaslp@hotmail.com,-34.936778,-57.944375
937,IM,MOVIMIENTO TERRITORIAL DE LIBERACION,Temperley,Buenos Aires,Tarija 2037,B1834DDQ,(011) 15-4191-8952,mtl_beto_2006@yahoo.com.ar,-34.772835,-58.366412
938,IM,RED SACRA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Solís 760,C1078AAP,(011) 4115-7832,sacra@sacra.com,-34.617664,-58.390316
942,IM,Asociación Civil por el Trabajo y Cultura de la Producción Argentina,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Av. Pueyrredón 19,C1032ABA,,microcreditoftnyp@yahoo.com.ar,-34.609975,-58.405968
943,IM,ASOCIACION CIVIL FEDEVI,Mataderos,Ciudad Autónoma de Buenos Aires,Pola 2526,C1440DBL,(011) 4313-6246 /  3526-2689,agrupacionfedevi@gmail.com,-34.661459,-58.485559
944,IM,ASOCIACION PARA EL FORTALECIMIENTO COMUNITARIO,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Martín Pescador 2257,C1417AKE,(011) 4566-2784,inesalbertali@hotmail.com,-34.610471,-58.49326
945,IM,SIPAM,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Suárez 2570,C1284AGH,(011) 4303-3962,info@sipam.org.ar,-34.642862,-58.385327
946,IM,FEDERACION DE MUTUALES VIRGEN DEL VALLE DE LA PROVINCIA DE CATAMARCA,San Fernando del Valle de Catamarca,Catamarca,Rivadavia 438,K4700EJJ,(0383) 4454737,femucat@femucat.org,-28.466151,-65.778549
948,IM,ASOCIACION CIVIL CONCIENCIA CIUDADANA,Córdoba,Córdoba,Ibarbalz 1039,X5004FAG,,adrianlangge@yahoo.com.ar,-31.407303,-64.171883
950,IM,FECESCOR,Córdoba,Córdoba,Av. Poeta Lugones 24,X5000HZN,(0351) 4259690,fecescor04@arnetbiz.com.ar,-31.39893,-64.182129
951,IM,FUNDACION FUNDASOL,Córdoba,Córdoba,Garay 1982,X5004EXX,,fundasol_cba@hotmail.com,-31.402846,-64.160584
952,IM,RED PASITOS ,Córdoba,Córdoba,Javier del Signo 5268,X5003CKB,(0351) 4806622,pasitos.mgs@hotmail.com,-31.39893,-64.182129
953,IM,Servicio Habitacional y Acción Social  - SEHAS Foro de ONG's Córdoba,Córdoba,Córdoba,Boulevard del Carmen 680,X5000ZAA,(0351) 4805031,fondodemicrocreditos@sehas.org.ar,-31.395423,-64.226549
954,IM,EL MAIZAL ASOCIACION CIVIL,Quilino,Córdoba,Sanavirones S/N,X5214ZAA,(03544) 494049,ucatras@gmail.com,-31.39893,-64.182129
955,IM,EMPRENDIMIENTOS SOLIDARIOS ASOCIACION CIVIL,Corrientes,Corrientes,Almirante Brown 2979,W3400ZAC,(0362) 4814798,empresolidario@yahoo.com.ar,-27.47533,-58.80908
956,IM,FEDERACION DE ENTIDADES MUTUALES DE CORRIENTES,Corrientes,Corrientes,Santa Fe 1540,W3400CHZ,(0379) 4439075,femcorr@hotmail.com,-27.475448,-58.831374
959,IM,FEDERACION ENTRERIANA DE ENTIDADES MUTUALES,Paraná,Entre Ríos,Concordia 132,E3100CBD,(0343) 4228986,fedem132@hotmail.com,-31.731023,-60.53793
960,IM,FEDERACION DE ASOCIACIONES MUTUALES DE FORMOSA,Formosa,Formosa,Bartolome Mitre 1245,P3600ZAA,(0370) 4422095,martagale@yahoo.com.ar,-26.185201,-58.17537
961,IM,ASOCIACION MUJERES WARMI SAYAJSUNCO,Abra Pampa,Jujuy,Tambillos S/N,Y4640ZAA,,asociacionwarmi@yahoo.com.ar,-22.722674,-65.696983
962,IM,Fundación Obra Claretiana para el Desarrollo,Abra Pampa,Jujuy,Gobernador Tello 133,Y4640ZAA,(03887) 421187,oclade@arnet.com.ar,-22.721835,-65.699635
965,IM,FUNDACION JUJUY ANDINA,San Salvador de Jujuy,Jujuy,Independencia 127,Y4600AFC,(0388) 4237128,asesoresjujuyandina@yahoo.com.ar,-24.187302,-65.295035
966,IM,CENTRO VECINAL DEL DISTRITO OCUMAZO HUMAHUACA,Humahuaca,Jujuy,Localidad de Ocumazo,Y4634ZAA,(0388) 7421806,redpunamnci@gmail.com,-23.203963,-65.348609
969,IM,FEDERACION DE MUTUALES DE MENDOZA,Capital,Mendoza,Pueyrredón 372,M5502GHH,(0261) 4285590,femumza@gmail.com,-32.899391,-68.856691
971,IM,ASOCIACION CIVIL MBA APO MBARETE,Posadas,Misiones,Juan Maza 3181,N3303ALC,(0376) 4596215,mbaapombarete@gmail.com,-27.362137,-55.900875
974,IM,ASOCIACION CIVIL FERIAS FRANCAS SAN VICENTE,San Vicente,Misiones,Av. Libertador 1010,N3356AJX,,julioferiafranca@live.com.ar,-26.995216,-54.485779
975,IM,MOVIMIENTO DE EDUCADORES POPULARES UNOMASUNO ASOCIACION CIVIL,Neuquén,Neuquén,Santamaría 130,Q8302FXD,(0299) 4488610,elenanqn@hotmail.com,-38.953669,-68.07728
976,IM,FEDERACION DE MUTUALES RIONEGRINAS,Viedma,Río Negro,Garrone 275,R8500AEE,(02920) 4247405,raulmartinez@yahoo.com.ar,-40.807356,-62.993321
977,IM,INSTITUTO PROMOCION DE DESARROLLO LOCAL RED AVO,Cipolletti,Río Negro,Las Acacias 1343,R8324CDM,(0299) 4772765,iriscifuentes@yahoo.com.ar,-38.9328,-67.983398
978,IM,RED DE GESTION LOCAL NORTE SANLUISEÑO,Naschel,San Luis,Pringles 370,D5759AYF,(0266) 4491079,stedesafios@hotmail.com,-32.915001,-65.374947
981,IM,ASOCIACION CIVIL GRANDES MILAGROS,Rosario,Santa Fé,Colectora 25 de Mayo 1549,S2000ZAC,(03414) 6382037,grandesmilagros@hotmail.com,-32.950741,-60.6665
986,IM,COMUNIDAD DEL PUEBLO ORIGINARIO DE PAMPA POZO,Quimilí,Santiago del Estero,Rotonda Sur Ruta 116,G3740ZAA,(03843) 421195,mocace.vc@gmail.com,-27.644184,-62.415565
987,IM,FEDERACION DE ASOCIACIONES MUTUALISTAS DE TUCUMAN,San Miguel de Tucumán,Tucumán,Pasaje José María Gutierrez 1475,4000,(0381) 4247405,consiansicarlos20@hotmail.com,-26.808285,-65.21759
988,IM,FUNDACION CALCHAQUI PARA EL DESARROLLO REGIONAL - FUCADER,San Miguel de Tucumán,Tucumán,Suipacha 907,T4001KTA,(0381) 4236597,agenciadedesarrolloterritorial@gmail.com,-26.816286,-65.213748
989,IM,PROGRESAR,Garín,Buenos Aires,Dupuy 1155,B1619HDA,(0348) 4457817,info@fundacionprogresar.org,-34.420588,-58.73403
990,IM,RED GESOL,Hurlingham,Buenos Aires,Av. Roca 662,B1686ZAB,(011) 4665-9445 / 1605,gesol1@ciudad.com.ar,-34.593894,-58.622082
997,IM,MUTUAL DEL PERSONAL DE SERVICIOS SANITARIOS DE QUILMES,Quilmes,Buenos Aires,Primera Junta 160,B1878IPD,(011) 4257-2959,amdess@yahoo.com,-34.732368,-58.249193
1001,IM,CONFEDERACION ECONOMICA DE LA CIUDAD DE BUENOS AIRES Y BONAERENSE,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Rivadavia 926,C1002AAU,(011) 4342-1608,yrojas@cgemetropolitana.com.ar,-34.608357,-58.379592
1009,IM,FUNDACION EMPRESA DE MENDOZA,Capital,Mendoza,Molina 471,M5500GAE,(0261) 429840123,gabrielafem@hotmail.com,-32.906269,-68.80447
1010,IM,GRAMEEN,Capital,Mendoza,San Martín 634,M5500AAT,(0261) 4610031 / 0032 / 0033,cabrera@grameen.org.ar,-32.895476,-68.840753
1011,IM,NORTE SUR,Bariloche,Río Negro,Perito Moreno 234,R8400ZAA,(0294) 4527599,info@nortesur.org.ar,-41.134913,-71.306748
1013,IM,ASOCIACION DE TECNICOS DE PROGRAMAS Y PROYECTOS SOCIALES - ATPPS,San Miguel de Tucumán,Tucumán,Jujuy 892,T4000IQR,(0381) 4245844,atpps.microeconomia@gmail.com,-26.840807,-65.213544
1014,EMC,Emprendimiento ASOCIACION DE MUJERES WICHI SIWAN´ 1 IDENTIDAD Y CULTURA,El Potrillo,Formosa,TALLER DE LA MUJER S/N,,,siwani@hotmail.com,-22.738269,-62.274284
1015,EMC,"Emprendimiento AEVA ""ASOCIACION DE ELABORADORES DE VINOS ARTESANALES""",San Juan,San Juan,JUJUY 429,,,aevasanjuan@yahoo.com.ar,-31.528474,-68.520962
1016,EMC,Emprendimiento ACTIVANDO DISEÑO,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,CHARCAS 4623 2º B,,,activandodiseño@gmail.com,-34.581843,-58.42561
1017,EMC,Emprendimiento TINKU KAMAYU,Lampacito,Catamarca,RUTA 39 S/N,,,tinkukamayu@yahoo.com.ar,-26.63557,-66.305908
1018,EMC,Emprendimiento HERMANADOS EN ARENA,Mar del Plata,Buenos Aires,LOS DURAZNOS 3580,,,nosuge.57@hotmail.com,-37.979858,-57.589794
1019,EMC,"Emprendimiento AGRUPAMIENTO ""KA AGUY REGUARE""",Aristóbulo del Valle,Misiones,RUTA 7 S/N,,,hilamoreira@gmail.com,-27.097469,-54.896439
1020,EMC,"Emprendimiento AGRUPAMIENTO "" CADENA TEXTIL SOLIDARIA""",Pigüé,Buenos Aires,RUTA NACIONAL 33 KM. 132,,,textilespigue@yahoo.com.ar,-37.574062,-62.420666
1022,EMC,Emprendimiento LOS SENDEROS DEL VINO DE FAMILIA,San Rafael,Mendoza,MAZZA 210,,,erama@correo.inta.gov.ar,-34.619151,-68.329011
1023,EMC,Emprendimiento RED CAÑERA,El Dorado,Misiones,CUYO 250,,,silvana_c.z@hotmail.com,-26.399919,-54.626812
1024,EMC,Emprendimiento AGRUPACION 1816,San Miguel de Tucumán,Tucumán,12 DE OCTUBRE  2051,,,cooperativa1816@hotmail.com,-26.801079,-65.213174
1025,EMC,Emprendimiento WITRAL MAPU,Esquel,Chubut,"AVDA.ALVEAR Y FONTANA, CENTRO CULTURAL MELIPAL S/N",,,andro_1979@hotmail.com,-42.909463,-71.318696
1026,EMC,Emprendimiento ARTEHILADOS DE CURUZU,Curuzú Cuatiá,Corrientes,GRAL. RAMIREZ 753,,03774 - 15637374,mccempleo@curuzu.net / elenasoto@curuzu.net,-27.471226,-58.839584
1027,EMC,Emprendimiento MANOS DE LA MADRID,General La Madrid,Buenos Aires,LAVALLE 589,,,andreaargaa@yahoo.com.ar,-37.247642,-61.260616
1028,EMC,Emprendimiento KETENK,Gobernador Gregores,Santa Cruz,PERITO MORENO 34,,0297 - 154232519,FLACAN15@HOTMAIL.COM,-48.76556,-70.249329
1029,EMC,Emprendimiento AGRUPAMIENTO CUMBI,Agua de Oro,Córdoba,LAS ACEQUIAS S/N,,,cumbiartesanias@hotmail.com,-31.066669,-64.300011
1030,EMC,Emprendimiento MELOZA,Cipolletti,Río Negro,BRASIL 1479,,0299 - 4770984,MELOZA_SABORES@HOTMAIL.COM,-38.9328,-67.983398
1031,EMC,Emprendimiento METELE,Rosario,Santa Fé,TUCUMAN 1349,,,emibaldacci@live.com.ar,-32.941169,-60.640519
1032,EMC,Emprendimiento JEPE´A,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,BULNES 14,,,info@jepea.com.ar,-34.610852,-58.418564
1033,EMC,Emprendimiento MANOS DE MI TIERRA,Hurlingham,Buenos Aires,AV. ROCA 662,,,redgesol@speedy.com.ar / comercializadoragesol@hotmail.com,-34.593894,-58.622082
1034,EMC,Emprendimiento MILLMA ANDINA,San Salvador de Jujuy,Jujuy,SECTOR B4 LOTE 3,,,hujopri77@hotmail.com,-24.185786,-65.299477
1035,EMC,Emprendimiento HIERON,Luyaba,Córdoba,CALLE PUBLICA S/N,,,albertopedrovicente@gmail.com,-32.150002,-65.066681
1036,EMC,Emprendimiento PAPRIKA,Trelew,Chubut,URQUIZA 1865,,,cdrchubutmaria@hotmail.com,-43.262935,-65.288494
1037,EMC,Emprendimiento PASEO DEFENSA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,BALDOMERO FERNANDEZ MORENO 3605,,,cosasrusticas@hotmail.com,-34.644744,-58.468848
1038,EMC,Emprendimiento RULICAN,Gobernador Gregores,Santa Cruz,JULIO ARGENTINO ROCA 509,,,afreiheit@correo.inta.gov.ar,-48.76556,-70.249329
1039,EMC,Emprendimiento RED PUNA,La Quiaca,Jujuy,7 DE JUNIO 69,,,maralupe2001@yahoo.com.ar,-22.104403,-65.596771
1040,EMC,Emprendimiento ARTESANOS PLAZA CABRAL,Corrientes,Corrientes,AYACUCHO 3009,,,eliseo_acosta@hotmail.com,-27.471226,-58.839584
1041,EMC,Emprendimiento FERIA FRANCAS DE MISIONES ,Oberá,Misiones,LEANDRO N. ALEM 1142,,,asociacionffm@yahoo.com.ar,-27.481531,-55.123493
1042,EMC,Emprendimiento LAS HUELLAS DEL VINO,Costa de Araujo,Mendoza,ISIDORA DUNCAN MC C8,,,vinoscaseroslavalle@live.com.ar,-32.761583,-68.394356
1043,EMC,Emprendimiento CAMINO DEL SOL,Berazategui,Buenos Aires,Calle 142 Nº 2072,,,andreavocampo@gmail.com,-34.771434,-58.210429
1044,EMC,Emprendimiento CERELADI,Puerto Madryn,Chubut,M.T. DE ALVEAR 352,,,cereleadi@arnet.com.ar,-42.754398,-65.049309
1045,EMC,Emprendimiento FAZENDA,25 de Mayo,Buenos Aires,AV. SCALABRINI ORTIZ 3261 2º C,,,fazenda_t@yahoo.com.ar,-35.433651,-60.166618
1046,EMC,Emprendimiento LA PLANTINERA,25 de Mayo,Buenos Aires,AV. SCALABRINI ORTIZ 3261 2º C,,,fazenda_t@yahoo.com.ar,-35.433651,-60.166618
1047,EMC,Emprendimiento AROMAS Y SABORES DEL NORTE GRANDE,Famailla,Tucumán,RUTA PROVINCIAL 301 KM.32,,,coopnortegrande@gmail.com,-27.056055,-65.402168
1048,EMC,Emprendimiento CAUQUEVA,Maimará,Jujuy,RUTA 9  KM. 1768,,,javierrodriguez@cauqueva.com.ar,-23.605294,-65.406388
1049,EMC,Emprendimiento GUALAMBA,Resistencia,Chaco,EMILIO ROMAN 285,,,jachichari@hotmail.com,-27.451656,-58.986252
1050,EMC,Emprendimiento MINKA,Rosario,Santa Fé,SAN JUAN 4083,,,info@comerciosolidario.org.ar,-32.942799,-60.67989
1051,EMC,Emprendimiento MANJARES DE LA LOMA,Aguilares,Tucumán,A.AGUADO 205,,,sergio_lucena14@hotmail.com,-27.432859,-65.61586
1052,EMC,Emprendimiento CERAMICA BLANCA,Tandil,Buenos Aires,3 PARCELA 9,,,ceramicablanca@hotmail.com,-37.323491,-59.136814
1053,EMC,Emprendimiento CORELA,Gaiman,Chubut,J.C. EVANS 95,,,confeccionesgaimanltda@hotmail.com,-43.289631,-65.492187
1054,EMC,Emprendimiento COOPERARTE ARTESANALMENTE CREANDO,Corrientes,Corrientes,GOBERNADOR VIRASORO 2967,,,aaroneluney@yahoo.com.ar,-27.471226,-58.839584
1055,EMC,Emprendimiento COSEPRO,San Juan,San Juan,MENDOZA 435,,,ndt@cosepro.coop / cosepro@cosepro.coop / verotaft@cosepro.coop,-31.53948,-68.525749
1056,EMC,Emprendimiento PERCIVAL,Lanús Este,Buenos Aires, BOLAÑOS 1136,,,nuevasanremo@yahoo.com.ar,-34.697978,-58.378148
1057,EMC,Emprendimiento GRUPO KAIROS PATAGONICA,Cipolletti,Río Negro,PARAGUAY 217,,,textilkairos@yahoo.com.ar,-38.9328,-67.983398
1058,EMC,Emprendimiento GURI CONFECCIONES TEXTILES,La Plata,Buenos Aires,Calle 28 376,,,patriagrandetx@gmail.com,-34.926636,-57.981946
1059,EMC,Emprendimiento PATRIA GRANDE PRODUCTOS TEXTILES,La Plata,Buenos Aires,Calle 28 376,,,patriagrandetx@gmail.com,-34.926636,-57.981946
1060,EMC,Emprendimiento JAC INDUMENTARIA LABORAL,25 de Mayo,Buenos Aires,AV. NAZCA 3906 ESQ. ASUNCION,,,jacindumentarialaboral@hotmail.com,-35.433651,-60.166618
1061,EMC,Emprendimiento ESKATEX,Los Ralos,Tucumán,SAN MARTIN S/N,,,ramonavargaz2011@hotmail.com,-26.88629,-65.006111
1062,EMC,Emprendimiento COOPERATIVA DE TRABAJO UNION DE TRABAJADORES SANLUISEÑOS LTDA,San Luis del Palmar,Corrientes,ITATI 151,,,utrasa@hotmail.com,-27.511312,-58.556732
1063,EMC,Emprendimiento EL DIARIO DE LA REGION,Resistencia,Chaco,JOSE HERNANDEZ 280,,,eldiariodelaregion@hotmail.com / juandiegotur@yahoo.com.ar,-27.454344,-58.978067
1064,EMC,Emprendimiento METAL NOA,San Salvador de Jujuy,Jujuy,CASEROS 530,,,coop.metalnoa@yahoo.com.ar,-24.199362,-65.294899
1065,EMC,Emprendimiento MTL LA BRAVA,Palpalá,Jujuy,LOS TULIPANES 148,,,coopmineramtl@yahoo.com.ar,-24.264835,-65.211778
1066,EMC,Emprendimiento OLAEN,Villa Giardino,Córdoba,BV. LAS FLORES 217,,,coopampadeolean@hotmail.com,-31.049952,-64.494865
1067,EMC,Emprendimiento VICHINO,Arroyo Seco,Santa Fé,9 DE JULIO 680,,,carlich8@hotmail.com,-31.049952,-60.51318
1068,EMC,Emprendimiento COOPERATIVA RED DE TURISMO CAMPESINO LTDA,San Carlos,Salta,SAN MARTIN S/N,,,info@turismocampesino.org,-25.931591,-65.945923
1069,EMC,Emprendimiento FLOR DE MI TIERRA RAYEN MAPU,Rawson,Chubut,ESPAÑA 532,,,shualpa@chubut.inta.gov.ar,-43.307287,-65.109746
1070,EMC,Emprendimiento HUELLA URBANA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,CARLOS CALVO 3111,,,aromasconestilo@yahoo.com.ar,-34.622445,-58.409277
1071,EMC,Emprendimiento LA OVEJITA NEGRA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,BELEN 55,,,info@laovejitanegra.com.ar,-34.634558,-58.486854
1072,EMC,Emprendimiento ALMA TIERRA ORIGEN DE NUESTRO MIMBRE,Tigre,Buenos Aires,SARMIENTO Y BUENOS AIRES LOCAL 112,,,info@losmimbreros.com.ar,-34.428196,-58.577805
1073,EMC,Emprendimiento LUZIL-CORRIENTES,Corrientes,Corrientes,COLOMBIA 632,,,luzil_l@hotmail.com,-27.467143,-58.816919
1074,EMC,Emprendimiento CIUDAD DE OPORTUNIDADES,Villa María,Córdoba,VIÑA DEL MAR 228,,,virginia.marti@villamaria.gov.ar,-32.405624,-63.213402
1075,EMC,Emprendimiento ORBE,Florencio Varela,Buenos Aires,CAPITAN ONTIVEROS 2127,,,orbeinstrumentos@gmail.com,-34.833142,-58.266926
1076,EMC,Emprendimiento RED DE ORGANIZACIONES COMUNITARIAS Y SOCIALES DE CORRIENTES-RED MERCOSUR,Corrientes,Corrientes,PERU 895 PBº,,,redcorrientesredmercosur@gmail.com,-27.46894,-58.821565
1077,EMC,Emprendimiento SABOR Y ARTE ARGENTINO,Perez,Santa Fé,BELGRANO 1861,,,lulyariza@hotmail.com,-27.46894,-60.766155
1078,EMC,Emprendimiento TEJIENDO FUTURO,25 de Mayo,Buenos Aires,LOS LAZARISTAS 207,,,laucejas@hotmail.com,-35.433651,-60.166618
1079,EMC,Emprendimiento RETAMA NATURAL,Huanguelén,Buenos Aires,27 ENTRE 10 Y 11,,,coprodesu@speedy.com.ar,-37.061653,-61.935947
1080,MUT,Mutual Traslasierras Despierta,Cura Brochero - Mina Clavero,Córdoba,,,,mutualesdelbicentenario@gmail.com,-31.715309,-65.000671
1081,MUT,Mutual Poder Mutual,Santa Fé,Santa Fé,,,,mutualesdelbicentenario@gmail.com,-31.632389,-60.699459
1082,MUT,Mutual de Capacitación Nuevas Ideas,Santo Tomé,Santa Fé,,,,mutualesdelbicentenario@gmail.com,-31.66534,-60.765381
1083,MUT,Mutual Miguel Miranda,Rosario,Santa Fé,,,,mutualesdelbicentenario@gmail.com,-32.950741,-60.6665
