provincia,denominacion,localidad,direccion,horario_atencion,telefono
La Rioja,Junta Evaluadora Disc. CPS Faldeo Velazco Sur,Disc. CPS Faldeo Velazco Sur,Ortiz de Ocampo 1700 - La Rioja Capital-,Jueves de 8 a 13 hs.,(0380) 4453755
La Rioja,"Sub-Junta Evaluadora interdisciplinaria
Zona Sanitaria III CAMPANAS","Sub- interdisciplinaria
Zona Sanitaria III CAMPANAS",Zona Sanitaria III.- Hospital Zona Sanitaria,,Tel. 03827-420350
La Rioja,Junta  Central Evaluadora de Personas (San Vicente),Junta  Central Evaluadora de Personas (San Vicente),Oyola yPamplona B° San Vicente,Martes 14:00 a 18:00 Hs,(03822) 424210
La Rioja,Sub-Junta Evaluadora de Personas 2,Sub- de Personas 2,Hospital Enrique Vera  Barros,Viernes 08:00 a 13:00 hs.,
Jujuy,Junta Central Evaluadora de Personas,Junta Central Evaluadora de Personas,Independencia Nº 41 - San Salvador de Jujuy -,,
Jujuy,Junta Evaluadora de Personas nº 2,de Personas nº 2,,,
Tucuman,Junta Central Evaluadora de Personas,Junta Central Evaluadora de Personas,Alberdi 416 - San Miguel de Tucuman -,Lun-Vier: 07.30 a 12.30,
Entre Ríos,Junta Central Evaluadora de Personas Paraná,Junta Central Evaluadora de Personas Paraná,Gregoria Matorras de San Martín Nº 861 y Azcuenaga - Paraná,Lu a Vi: 07.00 a 13 hs,0343 - 4236473 / 4208280
Entre Ríos,Sub-Junta Evaluadora de Personas  Concordia,Sub- de Personas  Concordia,Hospital Felipe Heras - Concordia -Entre Rios 135,Lu. A Vi. De 7 a 13 hs.,Tel: 0345 421 2580
Entre Ríos,Sub-Junta Evaluadora de Personas  Concepción,Sub- de Personas  Concepción,Hospital J.J. de Urquiza Av. Uncal y Vias del Ferrocarril - Concepción -,Lunes a Viernes de 07 hs a 13 hs.,Tel. 03442-443900/01  Fax 03442-441278
Entre Ríos,Sub-Junta Evaluadora de Personas Federación,Sub- de Personas Federación,Hospital San José D' Angelo S/ N - Federación -,Martes de 9:30 a 13 hs y de 16 a 17 hs.,03456 481111
Entre Ríos,Sub-Junta Evaluadora de Personas Chajarí,Sub- de Personas Chajarí,Moreno y Cepeda - Chajarí - CIC,Viernes de 12 a 18 hs,0345 426380
Entre Ríos,Sub-Junta Evaluadora de Personas Gualeguaychú,Sub- de Personas Gualeguaychú,CIC - Perigman 2300,Jueves de 13 a 17 hs.,Tel. 03446-437060
Entre Ríos,Sub-Junta Evaluadora de Personas Gualeguay,Sub- de Personas Gualeguay,Hospital San Antonio De La Soberania 179  - Gualeguay -,Mier. de 13 a 17 hs.,03444 424898
Entre Ríos,Sub-Junta Evaluadora de Personas Nogoyá,Sub- de Personas Nogoyá,25 de Mayo 876 e/Centenario y Alem (Of Municipal),Lunes y mier. de 10 a 12:30 hs.,Tel. 03435-421866
Entre Ríos,Sub-Junta Evaluadora de Personas Villaguay,Sub- de Personas Villaguay,Centro Provincial de Rehabilitacion Hospital Sta Rosa - Jose de San Martin S/N,,03455 421581
Catamarca,Junta Central Evaluadora de Personas,Junta Central Evaluadora de Personas,Avda. Perón N° 11 ( Esq. Avda. A. Illía),Lunes a Viernes de 07.00 horas a 12.00 horas.,
Catamarca,Sub-Junta Evaluadora de Personas Santa Maria,Sub- de Personas Santa Maria,Htal Dr. Luis Vargas - Santa Maria - Av. 1º de Mayo 269,,Tel. 03838-420263
Córdoba,Junta Central Evaluadora de Personas,Junta Central Evaluadora de Personas,Hospital de Niños de la Santísima Trinidad Bajada Pucará s/n  B° Crisol,"Miércoles y Jueves de 8,00 a 13,00 horas",(0351) 458 6400
Córdoba,Sub-Junta Evaluadora de Personas 2,Sub- de Personas 2,Hospital Neuropsiquiátrico Provincial Saavedra Sud 160 B° Juniors,"Viernes de 8,00 a 13,00 horas",(0351) 434 2429
Córdoba,Sub-Junta Evaluadora de Personas 3,Sub- de Personas 3,Hospital Nuestra Señora de la Misericordia Belgrano 1502 B° Guemes,"Lunes a Viernes de 8,00 a 13,00 horas",(0351) 434 4100
Córdoba,Sub-Junta Evaluadora de Personas 4,Sub- de Personas 4,Hospital Pediátrico del Niño Jesús Castro Barros 650 B° San Martín,"Martes y Viernes de 8,00 a 13,00 horas",(0351) 434 6060
Córdoba,Sub-Junta Evaluadora de Personas 5,Sub- de Personas 5,Hospital Tránsito Cáceres de Allende Pringles 1002 B° Pueyrredon,"Miércoles de 8,00 a 13,00 horas",(0351) 434 2411
Córdoba,Sub-Junta Evaluadora de Personas 6,Sub- de Personas 6,"Hospital Josefina Prieu, Balbín 77 Villa Allende. Departamento de Colón.","Viernes de 8,00 a 13,00 horas",(03543) 431409
Córdoba,Sub-Junta Evaluadora de Personas 7,Sub- de Personas 7,Hospital Aurelio Crespo Félix Cáceres s/n Cruz del Eje. Departamento de Cruz del Eje.,"Jueves de 8,00 a 13,00 horas",(03549) 42 6747
Córdoba,Sub-Junta Evaluadora de Personas 8,Sub- de Personas 8,Hospital Regional Pasteur Mendoza 2152 Villa María. Departamento de General San Martín,"Martes y Miércoles de 8,00 a 13,00 horas",(0353) 461 9138
Córdoba,Sub-Junta Evaluadora de Personas 9,Sub- de Personas 9,Hospital Regional Dr. Ernesto Romagosa Colón 247 Dean Funes. Departamento de Inschilin,"Jueves y Viernes de 8,00 a 13,00 horas",(03521) 426223
Córdoba,Sub-Junta Evaluadora de Personas 10,Sub- de Personas 10,Hospital Dr. Abel Ayerza Belgrano 350 Marcos Juarez. Departamento de Marcos Juarez.,"Miércoles de 8,00 a 13,00 horas",(03472) 422820
Córdoba,Sub-Junta Evaluadora de Personas  11,Sub- de Personas  11,Hospital Ramón J. Carcano Av. Juan D. Perón 20  Laboulaye. Departamento de Pte Roque Saenz Peña,"Jueves de 8,00 a 13,00 horas",(03385) 453242
Córdoba,Sub-Junta Evaluadora de Personas  12,Sub- de Personas  12,Hospital Colonia Santa María  Santa María de Punilla. Departamento de Punilla,"Lunes y Viernes de 8,00 a 13,00 horas",(03541) 48 9674
Córdoba,Sub-Junta Evaluadora de Personas 13,Sub- de Personas 13,Hospital Central General Mosconi 486 Rio Cuarto. Departamento de Rio Cuarto,"Jueves de 8,00 a 13,00 horas",(0358) 467 2934
Córdoba,Sub-Junta Evaluadora de Personas 14,Sub- de Personas 14,Hospital San Vicente de Paul Bv. Sobremonte 550 Villa del Rosario. Departamento de Rio Segundo.,"Lunes de 8,00 a 13,00 horas",(03573) 42 4704
Córdoba,Sub-Junta Evaluadora de Personas 15,Sub- de Personas 15,Hospital Villa Dolores Av. Belgrano 1500 Villa Dolores. Departamento de San Javier.,"Miércoles de 8,00 a 13,00 horas",(03544) 42 6437
Córdoba,Sub-Junta Evaluadora de Personas 16,Sub- de Personas 16,Hospital J.B. Iturraspe Domingo Cullen 450 San Francisco. Departamento de San Justo.,"Martes y Viernes de 8,00 a 13,00 horas",(03564) 443722
Córdoba,Sub-Junta Evaluadora de Personas 17,Sub- de Personas 17,Hospital Dr. Carlos J. Rodriguez- Arroyito Av. Carlos Pontin 750  Arroyito. Departamento de San Justo.,"Jueves de 8,00 a 13,00 horas",(03576) 42 1190
Córdoba,Sub-Junta Evaluadora de Personas 18,Sub- de Personas 18,Hospital Arturo U. Illía  Av. Del Libertador 1450 Alta Gracia. Departamento de Santa María,"Miércoles de 8,00 a 13,00 horas",(03547) 42 9282
Córdoba,Sub-Junta Evaluadora de Personas 19,Sub- de Personas 19,Hospital Complejo Asistencial Bell Ville Gerónimo del Barco 1300 Bell Ville. Departamento de Unión,"Jueves de 8,00 a 13,00 horas",(03534) 421003
Córdoba,Sub-Junta Evaluadora de Personas 20,Sub- de Personas 20,Hospital Vicente Agüero-Jesús María,,
Córdoba,Sub-Junta Evaluadora de Personas 21,Sub- de Personas 21,"Hospital Preventivo San Roque Rosario de Santa Fe Nº 374 Bº, Centro.",,
Corrientes,Region Sanitaria I- Junta Evaluadora Central- Ctes Capital,Region Sanitaria I-  Central- Ctes Capital,SANTA FE 731 -Corrientes Capital -,Lunes a Viernes de 7 a 13 hs.,0379-154751123
Corrientes,Sub-Junta Evaluadora de Personas de Goya,Sub- de Personas de Goya,Hosp Regional de Goya - Dr. Camilo Muniagurria  Av. T. Mazzanti 550 - Goya -,Turnos: Lunes a Viernes 7 a 13 hs.  Junta: Martes y Jueves de 8 a 10:30 hs.,(03777) 422283 int 139
Corrientes,Sub-Junta Evaluadora de Personas Saladas,Sub- de Personas Saladas,"Hospital María Auxiliadora, J R Vidal s/n, SALADAS",Martes y Jueves de 8 a 11 hs.,03782-421082 / 2310
Corrientes,Sub-Junta Evaluadora de Personas de Mercedes,Sub- de Personas de Mercedes,"Región Sanitaria IV - MERCEDES - Hospital Las Mercedes - Av. Virasoro s/n,  Mercedes","Lunes, Miercoles y Jueves de 8:30 a 13 hs. y Martes de 16:30 a 19 hs.",03773-420031
Corrientes,Sub-Junta Evaluadora de Personas de Santa Tome,Sub- de Personas de Santa Tome,"Región Sanitaria V - SANTA TOME -Hospital San Juan Bautista - Beltrán 451,  Santo Tomé -",Miercoles y Viernes de 8 a 12 hs.,03756-422410/420281
Corrientes,Sub-Junta Evaluadora de Personas de Paso de los Libres,Sub- de Personas de Paso de los Libres,"Hosp. ""San Jose"" PASO DE LOS LIBRES  E.Alisio Nº 650",Lunes a Viernes de 8 a 12 hs.,Tel. 03772-428127/28
"Tierra 
del
Fuego",Junta Evaluadora para la Discapacidad,para la Discapacidad,Onachaga Nº 146 - Ciudad de Ushuaia,"Lunes, Mierc. Y Viernes 10 a 14hs
Atención Juntas: Martes de 8 a 16 hrs.",02901-437431
"Tierra 
del
Fuego",Junta Evaluadora para la Discapacidad,para la Discapacidad,Belgrano Nº350 - Ciudad de Río Grande,"AT. Publico: Lunes, Mierc. y Viernes 10 a 14hs.",02964-422086 Int 154
INAREPS,Junta Única,Junta Única,"Ruta n°88, km 1,5 (B7604EQA) - Mar del Plata",,
"Santa 
Cruz",Junta Central Evaluadora de Personas - Rio Gallegos,Junta Central Evaluadora de Personas - Rio Gallegos,Hospital Regional Rio Gallegos - José Ingenieros 98,,Tel. 02966-425411 int. 2364
"Santa 
Cruz",Sub-Junta Evaluadora de Personas 2 - El Calafate,Sub- de Personas 2 - El Calafate,Htal. Distrital del Calafate (Av. Roca 1487),,Tel. 02902-491173
"Santa 
Cruz",Sub-Junta Evaluadora de Personas 3 - Perito Moreno,Sub- de Personas 3 - Perito Moreno,Hospital de Perito Moreno (Colon 1237),,Tel. 02963-432011
"Santa 
Cruz",Sub-Junta Evaluadora de Personas 4 - Río Turbio,Sub- de Personas 4 - Río Turbio,Htal. Distrital de Rio Turbio (Gendarmeria 126),,Tel. 02902-421375
"Santa 
Cruz",Sub-Junta Evaluadora de Personas 5 - Puerto Deseado,Sub- de Personas 5 - Puerto Deseado,Htal. Distrital de Puerto Deseado (España 991),,Tel. 0297-4872364
"Santa 
Cruz",Sub-Junta Evaluadora de Personas 6 - Gobernador Gregores,Sub- de Personas 6 - Gobernador Gregores,Htal. de Gobernador Gregores (Paradello 1025),,Tel. 02962-491001
"Santa 
Cruz",Sub-Junta Evaluadora de Personas 7 - Piedrabuena,Sub- de Personas 7 - Piedrabuena,Htal. Luis Piedrabuena (Saenz peña s/n),,Tel. 02962-497125
"Santa 
Cruz",Sub-Junta Evaluadora de Personas 8 - Caleta Olivia,Sub- de Personas 8 - Caleta Olivia,Htal. Zonal de Caleta Olivia (Eva Peron y Gob. Gregores),,Tel. 0297-4851389
San Luis,Junta Central Provincial San Luis,Junta Central Provincial San Luis,Centro Provincial de Rehabilitación - Ciudad de Rosario y Pasteur,"Lunes: mentales, Martes: Sensoriales,
Jueves: Viscerales, Viernes: Motores de 8 a 10.30 hrs.",0266 4431079
San Luis,Junta Villa Mercedes,Junta Villa Mercedes,Hospital Regional Juan Domingo Peron - Maipú 450,08:00a 12:00 Hs. 1 vez por semana,0266 422 001 - 421415
San Luis,Sub-junta Hospital de San Francisco,Sub-junta Hospital de San Francisco,Hospital San Francisco - Cnel Cocha S/N y San Martín,,0266-452000 int 5201
San Luis,Sub-junta Hospital de Concarán,Sub-junta Hospital de Concarán,Juan M de Rosas 117,,02656-480614
Río Negro,Junta Central Evaluadora de Personas -  Viedma,Junta Central Evaluadora de Personas -  Viedma,Area Central C.P.P.D. Viedma - Laprida 226 PB.,Lunes a viernes  de 07:00 a 14:00 hs.,(02920) 42 1833
Río Negro,Sub-Junta Evaluadora de Personas 2 - Gral. Roca,Sub- de Personas 2 - Gral. Roca,Adanil- Chacabuco 2175-,Lu a Vi: 08.00 a 14 hs.,0298 - 4429401
Río Negro,Sub-Junta Evaluadora de Personas 3 - Bariloche,Sub- de Personas 3 - Bariloche,Centro Administrativo - Onelli Nº 1450,Lu a Vi: 08.00 a 14.00 hs.,TEL. 02944-400021
Río Negro,Sub-Junta Evaluadora de Personas 4 - Villa Regina,Sub- de Personas 4 - Villa Regina,Hospital Villa Regina- Fray Luis Beltrán 476,Lu a Vi: 08.00 a 13.00 hs.,TEL. 02984-461262 / 461277
Río Negro,Sub-Junta Evaluadora de Personas 5 - Cipolletti,Sub- de Personas 5 - Cipolletti,Hospital Cipolletti. Fernández Oro 770.,Lu a Vi: 08.00 a 14.00 hs.,0299- 477 0030
Río Negro,Sub-Junta Evaluadora de Personas 6 - Luis Beltrán,Sub- de Personas 6 - Luis Beltrán,Hospital Dr Rocha. Vte López y Planes 773.,Lu a Vi: 08.00 a 13.00 hs.,fax 02946- 480 323 / tel. 02981-154755222
Río Negro,Sub-Junta Evaluadora de Personas 7 - El Bolsón,Sub- de Personas 7 - El Bolsón,Saavedra 2878 Casa del Sol,Lunes a Viernes de 8 a 13 hs.,Tel. 02944-455339/455271
Río Negro,Sub-Junta Evaluadora de Personas 8 - Río Colorado,Sub- de Personas 8 - Río Colorado,Consejo Deliberante Alem 790,Lunes a Viernes de 8 a 13 hs.,Tel. 02931 432465/431237 Miriam Muñoz
Río Negro,Sub-Junta Evaluadora de Personas 9 - Valcheta,Sub- de Personas 9 - Valcheta,Vicente Lopez y Alem - APAD,Lunes a Viernes de 8 a 14 hs.,Tel. 02944-493282/493232
Río Negro,Sub-Junta Evaluadora de Personas 10 - San Antonio Oeste,Sub- de Personas 10 - San Antonio Oeste,San Martin 483,,Tel. 0388-155226267
Río Negro,Sub-Junta Evaluadora de Personas 3 - Bariloche,Sub- de Personas 3 - Bariloche,Delegación Mrio. De Familia. Moreno 1435.,Lu a Vi: 08.00 a 13.00 hs.,02944 - 422849
Neuquén,Junta Central Evaluadora de Personas,Junta Central Evaluadora de Personas,ELORDI Nº 942,Lunes a viernes de 8 a 13 hs.,TEL:0299-4436049/4436151
Neuquén,"Sub-Junta Evaluadora de Personas 2
 San Martín de los Andes","Sub- de Personas 2
 San Martín de los Andes",DELEGACION MUNICIPAL LOS SAUCOS Y LAS MOSQUETAS - Bº El Arenal 3 de Caballeria 437,horario 8 a 13 hs.,"tel 02972-411560 / 
Junta: tel. 02972-412060"
Neuquén,Sub-Junta Evaluadora de Personas 3 Junín de los Andes,Sub- de Personas 3 Junín de los Andes,Gines Ponte 540,,02972-491560
La Pampa,Junta Central Evaluadora de Personas Santa Rosa,Junta Central Evaluadora de Personas Santa Rosa,Av Roca 851,Mar y Juev 8 a 12 hs,02954 453953
La Pampa,Sub-Junta Evaluadora de Personas 2 - Gral Pico,Sub- de Personas 2 - Gral Pico,Ctro de Salud ABUDARA - Calle 23 esq 8,Lunes  de  8:30 a 13 hs. y Jueves de 16 a 19 hs,Tel. 02302-435891
Chubut,Junta Central Evaluadora de Personas - Esquel,Junta Central Evaluadora de Personas - Esquel,Sarmiento 461,Lunes a viernes de 8:00 a 14:00hs,Tel:02945-455490-456627
Chubut,Sub-Junta evaluadora hospital zonal- ESQUEL,Sub-Junta evaluadora hospital zonal- ESQUEL,Dirección: Servicio de Rehabilitación (perteneciente a HZE) Roca 145,lunes de 8:30 a 14 hs,Tel: 02945- 457064
Chubut,Sub-Junta Evaluadora de Personas TRELEW,Sub- de Personas TRELEW,Centro de Rehabilitación Pichi Anai (dependiente de HZT) San Martín  518,miércoles y viernes desde 8.30 a las 13.30 hs.,Tel: 02804 427670
Chubut,"Sub-Junta Evaluadora de Personas - 
Hosp Sub Zonal de Puerto Madryn","Sub- de Personas - 
Hosp Sub Zonal de Puerto Madryn",Dependiente del Htal. Zonal de Puerto Madryn R.GOMEZ Nº 383,,TEL:0280-4453030
Chubut,Sub-Junta Evaluadora de Personas Comodoro Rivadavia,Sub- de Personas Comodoro Rivadavia,Av. Hipólito Irigoyen 950- Servicio de Rehabilitación Hospital Regional,Horarios de atención: 8 a 12 hs.,Tel: 0297-4473563
Chubut,Sub-Junta Evaluadora de Personas Hospital Rural de Gaiman,Sub- de Personas Hospital Rural de Gaiman,Av. E. Tello 1202,,Tel. (0280) 491002 / 1598
Chubut,Sub-Junta Evaluadora de Personas Comarca Andina,Sub- de Personas Comarca Andina,Hospital Rural El Maiten - Patagonia 615,,Tel. 02945 495437
Chubut,Sub-Junta Evaluadora de Personas Sarmiento,Sub- de Personas Sarmiento,Hospital Rural de Sarmiento - Av. Ing. Cnel Roca,,Tel. 0297 4893022 / 4542
Salta,Junta Central Evaluadora de Personas,Junta Central Evaluadora de Personas,"Calle Jujuy 402, esquina Mendoza",Lunes a viernes 8.00 a 14.00 horas,Tel. (0387) 4314886 int 220
Salta,Sub-Junta Evaluadora de Personas 3,Sub- de Personas 3,Lerma 800,"Lunes a viernes 8,30 a 14,00 horas",
