Nombre;Origen del financiamiento;Provincia;Localidad;Cantidad total de camas
CENTRO DE ORTOPEDIA Y TRAUMATOLOGIA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE ORTOPEDIA Y TRAUMATOLOGIA INTEGRAL - CEOTI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE OTORRINOLARINGOLOGIA DR. OBEJERO PAZ;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE RADIOTERAPIA RT - MEDRANO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE REHABILITACION ORAL E IMPLANTES DENTALES  C.R.O.I.D.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE SALUD BUENOS AIRES - OBRA SOCIAL DEL SINDICATO DE OBREROS DE LA MAESTRANZA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE SALUD CANOSA ISABEL VIRGINIA Y PANTANO ANA MARIA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE SALUD MENTAL;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE SALUD MENTAL A.S.A.M.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE SALUD MENTAL ATENEA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE SALUD MENTAL BRAIN CENTER;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE SALUD MENTAL -CLINICA PSIQUIATRICA BANFIELD;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE SALUD MENTAL COMUNIDAD TERAPEUTICA DE PALERMO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE SALUD MENTAL CON MOD.DE ATENCION AMB.Y HOSP.DE DIA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE SALUD MENTAL -INSTITUTO DE MACROPSICOLOGIA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE SALUD MENTAL INTEREA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE SALUD MENTAL SESAM;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE SALUD MENTAL Y HOSPITAL DE DIA DEL PILAR S.A;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE SALUD MENTAL Y HOSPITAL DE DIA SANTA ANA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE TRAUMATOLOGIA - VALLS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE TRAUMATOLOGIA Y REHABILITACION;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE TRAUMATOLOGIA Y REHABILITACION DEPORTIVA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE VACUNACION;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE VACUNACION  VACUNAR;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE VACUNACION (JOSE LUIS CANTILO 5087);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE VIDA - PREVENCION Y ASISTENCIA DE ADICCIONES;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DE VIDA (FUNDACION FAVALORO);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DIABETOLOGICO BUENOS AIRES;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DOS- ASOCIACION CIVIL PARA LA ASISTENCIA Y DOCENCIA EN PSICOANALISIS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DR. BOTTINI DE FLEBOLOGIA Y ESTETICA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO DR. CARLOS MARIA TAQUINI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO EDUCATIVO TERAPEUTICO (TERRADA 5441/43);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO EDUCATIVO TERAPEUTICO ABRIENDO CAMINOS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO EDUCATIVO TERAPEUTICO CEREP  - CENTRO DE REHABILITACION Y EDUCACION PSICOMOTRIZ;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO EDUCATIVO TERAPEUTICO CRECIENDO JUNTOS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO EDUCATIVO TERAPEUTICO ESTIMULACION TEMPRANA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO EDUCATIVO TERAPEUTICO MI CASA BLANCA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO GEBEN - ALTERNATIVA EN REHABILITACION;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO IMPLANTO ODONTOLOGICO BRANDAN;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO IMPLANTODONTOLOGICO ARGENTINO DR. FILIPPONI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO INTEGRAL DE CIRUGIA PLASTICA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO INTEGRAL DE MEDICINA OCULAR DEVOTO CIMO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO INTEGRAL DE NEFROLOGIA DAOMI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO INTEGRAL DE REHABILIATCION DEL AFASICO (CIRA);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO JUVENIL ESPERANZA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO LARREA DE SALUD MENTAL;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICINA INTEGRAL METROPOLITANA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO - DIABETOLOGIA Y NUTRICION;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO  GRUPO MEDICO OTORRINOLARINGOLOGICO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO  NOGOYA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO  OBRA SOCIAL DE CHOFERES DE CAMIONES;Público;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO (AVENIDA DE MAYO 975);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO (AVENIDA SANTA FE 3312);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO (BRANDSEN 1470);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO (CORRIENTES 1515);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO (GRUPO MEDICO ROSTAGNO);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO (URUGUAY 43);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO A.P.E.B.I.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ACCORD;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ADMINISTRACION GES S.A.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ALAS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ALBERDI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ALBERTI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ALMAGRO S.A.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO AMIBA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO AMPAR;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ARGENTINO PSICONEUROINMUNOENDOCRINOLOGIA (AMULEN - NEUROCIENCIAS);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ASHAZI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ASOCIACION CIVIL HOSPITAL COMUNITARIO MODELO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ATENCION OTORINOLARINGOLOGICA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO AUSTRAL OMI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO BAEM;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO BANCO NACION (ASOCIACION BANCARIA DE LA OBRA SOCIAL BANCARIA  ARG);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO BARRANCAS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO BARRIO NORTE - HOSPITAL ITALIANO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO BAZTERRICA (CONSULTORIOS EXTERNOS DE LA CLINICA BAZTERRICA);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO BELGRANO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO BELGRANO II - HOSPITAL ITALIANO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO BUENOS AIRES;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO BUENOS AIRES -  DR. LACARTA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO C.I.M.A.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO C.I.T.A.M.E.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO CARDIOSALUD;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO CASAL;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO CEBIRSA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO CEMLA NORTE;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO CEREME;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO CIMER - INVESTIGACIONES EN MEDICINA REPRODUCTIVA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO CLINICA DEL GOLF;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO -CLINICA NAVEIRA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO COBERMED - LACROZE;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO COMEX;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO CON CIRUGIA MENOR AMBULATORIA  DR. HORACIO LOPEZ CARLONE;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO CON QUIROFANO P/CIRUGIA MENOR AMBULATORIA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO CONSTRUIR SALUD OSPECON;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO CONSULT RENT;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE ACUPUNTURA CHINA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE ALTA COMPLEJIDAD DR. COIRA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE CARDIOLOGIA CARDIOCENTER;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE CARDIOLOGIA Y REHABILITACION;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE CIRUGIA AMBULATORIA ULTRASTHETICS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE CIRUGIA PLASTICA DR. CARLOS JURI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE CIRUGIA PLASTICA DR. RAUL LOPEZ BANDERA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE DIAGNOSTICO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE DIAGNOSTICO CERIM (ESTUDIOS RADIOLOGICOS MAMARIOS);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE DIAGNOSTICO PARQUE;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE DIAGNOSTICO RADIOLOGICO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE LA MUJER;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE LA OBRA SOCIAL PARA EL PERSONAL DE OBRAS Y SERVICIOS SANITARIOS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE MEDICINA ESTETICA DE LA DRA. MILITO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE OBSTETRICIA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE OSTEOPATIAS DR. CARLOS MAUTALEN;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE OSTEOPATIAS MEDICAS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE REHABILITACION  REBIOGRAL;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE REHABILITACION (SEA);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE REHABILITACION BIOS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE REHABILITACION CARI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE REHABILITACION DE CIEGOS Y DISMINUIDOS VISUALES;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE REHABILITACION INTEGRAL ALPI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE REHABILITACION SANTA BARBARA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE SALUD MENTAL MAYO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DE YBK;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DEBORA SRL;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DEL CIRCULO DE OFICIALES DE MAR - COM;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DEL SUD;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DEL TEJAR;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DEPORMED;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DIAGNOSTICO SAVIO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DOCTHOS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DOCTORA RAYA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DR. ALBERTO ARNOLDO TRAUMATOLOGIA DEL DEPORTE;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DR. DAVILA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DR. FLORENTINO DALL ORSO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DR. OLIVERA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DR. STAMBOULIAN - BARRIO NORTE;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DR. STAMBOULIAN - BELGRANO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DR. STAMBOULIAN - FLORES;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DR. STAMBOULIAN - MICROCENTRO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO DRA. RODRIGUEZ;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO EMA (ESCLEROSIS MULTIPLE ARGENTINA);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO EMERGENCIAS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ENDOSCOPIA DIGESTIVA SA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO EUROSALUD;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO EVA PERON (CENTRO MEDICO OSPETAX);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO EVANGELICO - SEDE CENTRAL;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO FANDOS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO FERTILAB;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO FLORES - OSECAC;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO FREMI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO GEDYT GASTROENTEROLOGIA DIAGNOSTICA Y TERAPEUTICA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO GEMA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO GINIS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO GRUPO OFTALMOLOGICO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO GYUKITS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO HAIR RECOVERY ARGENTINA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO HELGUERA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO HELIOS SALUD;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO HOMINIS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO HUESPED;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO IMAGEN TEST DE DIAGNOSTICO DE ALTA COMPLEJIDAD;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO IRENE BERMEJO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO IRIES - INSTITUTO DE RADIOCIRUGIA ESTEREOTAXICA DEL SUR;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO IVI BUENOS AIRES;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO JUNIN (SWISS  MEDICAL CENTER BARRIO NORTE);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO KOREAN MEDICAL;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO LABORAL MEDINTH;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO LABORAL SUMO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO LARREA O.S.E.C.A.C.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO LEZAMA - MEDICINA LABORAL (SEDE CENTRAL);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO LINIERS S.A.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO LUIS PASTEUR - SEDE BELGRANO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO LUIS PASTEUR - SEDE CONGRESO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO MADEROMED;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO MAFPRE DEVOTO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO MAJESTIC MEDICAL CENTER;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO MEDICAR;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO MEDICINA DEVOTO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO MEDICINA INTEGRAL KOREANA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO MEDICONEX;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO MERY ZEM;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO MEYL S.A. (MEDICINA PARA EMPRESAS);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO MONSERRAT;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO NOMED;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO O.M.S.A.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO O.S.CO.NA.RA. (OBRA SOCIAL DE CONSTRUCTORES NAVALES);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO O.S.P.E.S.A.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO OBLIGADO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO OBRA SOCIAL DE TECNICOS DE FUTBOL;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ODONTOLOGICO PREPASA S.A.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO OFTALMOLOGICO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO OFTALMOLOGICO CREMONA GUSTAVO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO OFTALMOLOGICO DE ALTA COMPLEJIDAD;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO OFTALMOLOGICO DR. CIANNI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO OLIVERA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ONCOLOGICO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ONCOLOGICO AV. BELGRANO 2309;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ORGANIZACION MEDICA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO OSECAC;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO OSECAC MEDRANO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO OSPIHMP;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO OTERO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO PALIAR;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO PALPA DEL HOSPITAL ITALIANO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO PARALISIS CEREBRAL - CPC;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO PEDIATRICO PALERMO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO PET Y CAR ARENALES 1611 3º;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO PIELNOVA CLINIC;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO PREVENTUS Y CONSULTORIO DEL DR. JORGE SHEJTMAN;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO PROCREARTE;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO PROESA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO PUEYRREDON;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO REMEDY;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO REUMATOLOGICO OMI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ROCA MEDICAL CLASS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO RODRIGUEZ PABLO LUIS Y CELA DO PAZO RODRIGO EUGENIO SH;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ROMEG;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO SAMPIETRO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO SAN JOSE;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO SAN LUIS S.A.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO SAN MARTIN - C.O.M.I. SALUD;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO SANTA CECILIA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO SANTA CECILIA S.R.L.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO SER (SERVICIOS ESPECIALIZADOS EN REHABILITACION);Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO SHAPE ON;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO SIMECO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO SISTEMA DIAGNOSTICO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO SOI;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO SOLIMED - POMPEYA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO SOLIMED - VILLA LUGANO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO SOLIMED SRL AVDA LA PLATA 2966/70;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO TRINIDAD - BARRIO NORTE;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO UNION OBREROS Y EMPLEADOS DEL PLASTICO 24 DE NOVIEMBRE;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO UNIVERSAL S.R.L.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO URIBURU - CIRUGIA AMBULATORIA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO VERSAILLES;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO VICENTE TALIANO - OSPEDYC;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO VILARIÑO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO VILELLA S.A.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO VILLA URQUIZA DEL NIÑO Y LA MUJER;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO WARNES;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO WILLIAM OSLER;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO Y KINESICO SAN FRANCISCO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO Y LABORAL DR. SILVESTRIS;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO Y ODONTOLOGICO ASOCIACION BANCARIA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO Y ODONTOLOGICO DOCTO RED;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO Y ODONTOLOGICO MEDIFE ASOCIACION CIVIL;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO Y ODONTOLOGICO VIRGEN DE URKUPIÑA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO YAKE;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO YATAY;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO ZELAYA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICO-CONSULTORIOS PARA LA COMUNIDAD;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICUS AZCUENAGA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICUS ODONTOLOGICO DE BELGRANO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEDICUS ODONTOLOGICO VIAMONTE;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MEVATERAPIA S.A.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO MULTIDISCIPLINARIO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO ODONTOLOGICO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO ODONTOLOGICO - FUNDACION CIENCIA Y SALUD;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO ODONTOLOGICO  SIPRO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO ODONTOLOGICO (GERDANNA SALUD - DIVISION ODONTOLOGIA) AATRAC - OSTRAC;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO ODONTOLOGICO AINCO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO ODONTOLOGICO AV. CORDOBA 3264 1º;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO ODONTOLOGICO CENTRO S.A.;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO ODONTOLOGICO CERRITO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO ODONTOLOGICO CLIDENT;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO ODONTOLOGICO CRESPO URIBURU;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO ODONTOLOGICO DE INVESTIGACION Y DOCENCIA DOGMA;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO ODONTOLOGICO DEL ABASTO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO ODONTOLOGICO DEL HOSPITAL BRITANICO;Privado;CABA;Ciudad de Buenos Aires;0
CENTRO ODONTOLOGICO DENTAL DAS SRL;Privado;CABA;Ciudad de Buenos Aires;0
